OBJECTID,StreetAddress,APN,ServiceConnectionLength_ft,PredMeter,MeterConf,PredLocation,LocationConf,NeedsReview,PriorityScore,BestMeterImg,BestLocationImg,X,Y
1,3375 Alicia Ave,5833-010-014,28.209038,destroyed,0.8524231314659119,cleared,0.9914855360984802,0,50.0,761d2e56-1732-4d3b-a69b-c0e622dce2ce_7_2.jpg,761d2e56-1732-4d3b-a69b-c0e622dce2ce_9_2.jpg,-118.14161283399994,34.20187116200003
2,3358 Alicia ave ,5833-009-004,13.781378,damaged,0.871380090713501,cleared,0.9447852969169617,0,35.0,0fe8df04-f8dc-4970-ae58-563b275fb6d1_12_2.jpg,0fe8df04-f8dc-4970-ae58-563b275fb6d1_13_2.jpg,-118.14166087599995,34.20161654700007
3,3278 Alicia Ave,5833-009-014,25.372796,destroyed,0.9131097793579102,ruins,0.918329656124115,0,60.0,63196baa-6b41-4291-af4b-59e008e76aab_15_2.jpg,63196baa-6b41-4291-af4b-59e008e76aab_18_2.jpg,-118.14250917899994,34.20037493800004
4,3352 Alicia ave ,5833-009-005,18.52253,damaged,0.9272863864898682,cleared,0.9687701463699341,0,35.0,560c62ba-d5bd-41b1-ab23-11748145ec57_20_2.jpg,560c62ba-d5bd-41b1-ab23-11748145ec57_22_2.jpg,-118.14176506099994,34.20144925100004
5,3340 Alicia ave ,5833-009-006,20.433467,destroyed,0.753311276435852,ruins,0.9079717993736267,0,60.0,e054bdca-fbb4-4572-94ed-1f1182a60202_23_2.jpg,e054bdca-fbb4-4572-94ed-1f1182a60202_26_2.jpg,-118.14187008099998,34.20129341100005
6,3288 Alicia Ave,5833-009-013,13.193636,damaged,0.8740639686584473,cleared,0.6780200004577637,0,35.0,4d03dc81-bfe4-405d-be13-df22174e3f80_28_2.jpg,4d03dc81-bfe4-405d-be13-df22174e3f80_29_2.jpg,-118.14242792699997,34.200543148000065
7,3332 Alicia ave ,5833-009-007,22.362935,damaged,0.864220380783081,ruins,0.9994082450866699,0,45.0,309f8bbe-dce1-453a-91b8-c5e649f2e3a9_32_2.jpg,309f8bbe-dce1-453a-91b8-c5e649f2e3a9_33_2.jpg,-118.14193394199998,34.201195244000075
8,3294 Alicia Ave,5833-009-011,14.320302,destroyed,0.8177394866943359,cleared,0.9444475769996643,0,50.0,0c28bd03-e713-4bb6-9cbd-c66887550a3f_35_2.jpg,0c28bd03-e713-4bb6-9cbd-c66887550a3f_37_2.jpg,-118.14234846499994,34.200649578000025
9,3304 Alicia Ave,5833-009-010,12.524131,damaged,0.9158775806427002,cleared,0.8329530954360962,0,35.0,66f24c8d-8500-4272-82db-9cc422c42cf2_40_2.jpg,66f24c8d-8500-4272-82db-9cc422c42cf2_41_2.jpg,-118.14226430399998,34.20077563700005
10,3322 Alicia ave ,5833-009-008,37.028745,destroyed,0.9776244163513184,cleared,0.8131092190742493,0,50.0,5e83c606-a6f8-4e54-9250-4b6e901f8f44_43_2.jpg,5e83c606-a6f8-4e54-9250-4b6e901f8f44_48_1.jpg,-118.14201247799997,34.201019737000024
11,3314 Alicia Ave ,5833-009-009,16.695638,damaged,0.7453302145004272,cleared,0.9980003237724304,0,35.0,67b21cf5-7b83-4584-a9a4-2183654b7277_47_1.jpg,67b21cf5-7b83-4584-a9a4-2183654b7277_49_1.jpg,-118.14214186699996,34.20092880900006
12,3303 Alicia ave ,5833-010-007,27.580492,damaged,0.8586117625236511,cleared,0.9814992547035217,0,35.0,aa8543c2-c96e-49a9-b50e-15239b9c7c6a_52_1.jpg,aa8543c2-c96e-49a9-b50e-15239b9c7c6a_54_1.jpg,-118.14236687999994,34.200810560000036
13,3277 Alicia Ave,5833-010-004,28.355616,destroyed,0.9212696552276611,cleared,0.8549985289573669,0,50.0,bbc6bc5e-891a-44a0-bbf8-d37d8fcaf458_56_1.jpg,bbc6bc5e-891a-44a0-bbf8-d37d8fcaf458_57_1.jpg,-118.14264457299998,34.200424430000055
14,3295 Alicia ave,5833-010-006,26.793785,damaged,0.9644405245780945,ruins,0.7708916068077087,0,45.0,30acf3fc-9966-4f80-aaa7-49019abeb312_60_1.jpg,30acf3fc-9966-4f80-aaa7-49019abeb312_62_1.jpg,-118.14245398599996,34.200684833000025
15,3287 Alicia Ave,5833-010-005,21.442858,destroyed,0.9514213800430298,ruins,0.8804459571838379,0,60.0,100a7b86-d608-4305-a17f-17819f792ddd_64_1.jpg,100a7b86-d608-4305-a17f-17819f792ddd_65_1.jpg,-118.14252786999998,34.20055733400005
16,3268 Tonia Ave,5833-008-015,23.261276,damaged,0.8891420364379883,cleared,0.9884034991264343,0,35.0,393f3c64-71cd-403b-a14b-93d00d0b30c2_68_1.jpg,393f3c64-71cd-403b-a14b-93d00d0b30c2_70_1.jpg,-118.14159401399996,34.19998852000003
17,3368 Tonia ave. ,5833-008-004,25.520825,destroyed,0.8554338216781616,ruins,0.650269091129303,0,60.0,b50b0223-142f-485a-84b6-2465cd4716b9_71_1.jpg,b50b0223-142f-485a-84b6-2465cd4716b9_73_1.jpg,-118.14055245199995,34.201417176000064
18,3322 laurice ave ,5833-007-004,37.210349,damaged,0.8697418570518494,ruins,0.8889304399490356,0,45.0,e5faa861-e8ba-40e3-8012-56e0c3a05536_76.jpg,e5faa861-e8ba-40e3-8012-56e0c3a05536_77.jpg,-118.14005227299998,34.20037716200005
19,95 Marathon Rd,5833-009-015,9.474329,destroyed,0.8572500348091125,ruins,0.8808540105819702,0,60.0,87c1d18f-225f-4b41-979d-dea88d8ec1d1_80.jpg,87c1d18f-225f-4b41-979d-dea88d8ec1d1_81.jpg,-118.14266888499998,34.19997039300006
20,3268 summit ave ,5833-006-017,28.693195,damaged,0.9632487893104553,cleared,0.983572781085968,0,35.0,987ce0b2-3162-4031-b4de-26229ceced06_84.jpg,987ce0b2-3162-4031-b4de-26229ceced06_85.jpg,-118.13883595499999,34.198682940000026
21,1262 Rubio vista rd ,5843-030-019,16.654817,destroyed,0.8802123069763184,ruins,0.7350873351097107,0,60.0,bdf6832d-3664-4399-ae59-c144db47cb3a_183.jpg,bdf6832d-3664-4399-ae59-c144db47cb3a_185.jpg,-118.12353104399995,34.201841254000044
